"Coal shipments to the electric power sector: price, by plant state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&map=COAL.SHIP_PLANT_PRICE.US-TOT.Q&freq=Q&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Mar 02 2023 17:51:00 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
All coal : Kansas,$/short ton,COAL.SHIP_PLANT_PRICE.KS-TOT.Q,23.43,24.46,24.19,24.65,24.92,23.98,24.18,24.36,25.28,25.77,25.54,26.99,29.06,30.1,30.62,30.54,31.3,32.49,31.55,31.79,32.05,30.6,30.55,29.6,30.25,31.3,31.57,30.98,29.95,28.88,28.87,29.16,29.51,28.87,29.47,29.12,29.18,30.66,28.77,29.72,28.67,29.7,29.28,29.64,28.18,27.55,27.23,27.52,26.98,27.94,25.91,25.76,23.18,24.06,25.92,25.82,32.63,32.44,32.71
All coal : Minnesota,$/short ton,COAL.SHIP_PLANT_PRICE.MN-TOT.Q,28.33,29.72,29.81,30.26,28.38,29.28,29.39,29.61,29.85,30.51,31.3,31.29,33.72,33.58,34.36,34.58,33.79,35.62,35.17,36.11,36.01,36.36,35.6,34.8,34.22,34.89,35.72,34.1,35.06,33.97,32.75,32.27,37.44,36.19,36.52,35.49,37.72,37.28,37.07,36.43,37.48,38.94,39.33,39.69,37.22,35.53,35.23,35.26,35.7,34.47,33.75,34.33,36.27,36.15,37.03,42.68,40.11,40.28,42.23
All coal : Missouri,$/short ton,COAL.SHIP_PLANT_PRICE.MO-TOT.Q,26.01,25.96,26.61,26.96,26.58,27.14,26.42,26.68,27.52,27.72,27.47,27.91,29.34,30.37,31.12,30.3,32.74,32.72,32.79,32.31,33.77,34.03,33.58,32.63,35.06,35.36,35.67,34.71,34.6,33.1,33.07,32.5,32.8,32.55,32.73,33.36,32.82,33.02,32.59,32.94,33.15,31.54,31.66,30.96,30.25,29.4,29.04,29.51,27.95,27.52,27.48,27.26,28.61,28.48,29.7,30.87,32.85,34.21,34.45
All coal : Nebraska,$/short ton,COAL.SHIP_PLANT_PRICE.NE-TOT.Q,14.89,15.2,15.33,16.05,22.9,22.87,22.36,22.57,24.28,24.5,23.95,24.09,24.13,26.65,26.39,25.36,26.21,27.06,26.15,26.08,25.54,24.69,23.9,23.61,23.42,23.97,23.71,23.53,23.29,23.01,22.61,22.13,22.85,22.43,22.96,22.59,23.39,23.17,23.12,23.12,21.31,21.4,21.5,21.28,20.91,21.22,21.01,20.73,21.41,21.28,21.28,20.74,19.14,19.61,20.35,19.68,20.46,22.4,22.03
All coal : North Dakota,$/short ton,COAL.SHIP_PLANT_PRICE.ND-TOT.Q,14.09,15.34,14.17,13.94,13.65,15.25,15.27,16.28,15.98,17.16,16.27,17,16.54,18.53,18.42,17.46,18.95,20.09,19.61,20.17,19.23,20.85,20.67,21.03,19.06,21.49,21.61,19.26,21.07,20.91,20.66,20.33,20.1,20.94,20.21,20.43,21.05,23.37,20.49,19.87,18.72,20.39,20.08,21.01,19.88,21.44,20.24,23.12,19.79,23.11,20.48,21.02,20.5,22,19.96,21.84,20.59,21.72,22.01
All coal : South Dakota,$/short ton,COAL.SHIP_PLANT_PRICE.SD-TOT.Q,28.13,29.23,30.21,29.11,30.47,27.96,29.13,29.68,32.9,33.27,31.19,32.76,34.78,34.21,33.92,34.71,39.42,36.3,35.46,35.16,34.36,33.21,32.86,33.33,35.59,34.48,34.3,34.52,35.77,47.52,35.06,38.61,37.68,37.1,36.57,38,37.77,37.73,36.55,33.63,31.31,31.77,31.41,28.54,31.93,28.26,30.11,27.82,31.85,29.19,33.06,29.09,31.06,32.1,29.28,34.93,34.07,33.57,35.36
All coal : South Atlantic,$/short ton,COAL.SHIP_PLANT_PRICE.SAT-TOT.Q,60.28,66.5,73.69,74.04,77.21,76.67,79.3,79.33,79.48,80.09,79.53,80.23,80.36,79.7,81.68,80.36,79.05,78.97,79.2,78.4,74.93,76.83,73.95,74.03,72.54,72.36,73.61,71.71,69.68,69.77,68.95,67.25,64.67,64.78,65.32,63.94,63.56,63.12,62.79,62.82,61.72,61.58,61.91,62.22,63.15,59.81,60.63,58.77,58.43,57.79,56.39,56.07,55.5,54.59,60.64,61.83,64.97,65.66,81.12
All coal : Delaware,$/short ton,COAL.SHIP_PLANT_PRICE.DE-TOT.Q,79.21,88.19,93.73,94.1,82.02,80.79,87.39,86.89,88.83,88.21,88.78,90.31,98.58,96.86,106.66,104.49,105.11,100.1,106.91,94.94,82.84,84.44,83.12,81.95,84.49,83.94,85.02,82.17,83.03,82.65,--,--,83.55,82.46,82.5,83.5,82.86,82.76,--,--,--,--,--,81.08,81.37,--,--,--,--,--,--,--,69.75,69.75,86.11,92.07,140.11,--,228.61
All coal : District Of Columbia,$/short ton,COAL.SHIP_PLANT_PRICE.DC-TOT.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Florida,$/short ton,COAL.SHIP_PLANT_PRICE.FL-TOT.Q,64.07,68.35,74.03,74.83,79.73,82.09,81.18,80.61,84.94,84.44,80.71,82.91,84.57,86.66,83.93,84.39,83,84.58,83.94,83.32,81.38,83.78,79.61,80.26,79.09,81.1,79.43,77.33,73.11,72.24,73.81,73.77,70.03,71.85,70.49,70.28,70.61,68.91,67.59,70.93,68.93,68.14,67.03,68.9,68.48,69.06,67.13,64.13,61.74,59.62,57.7,57.74,57.01,56.57,66.07,69.54,77.17,72.02,98.67
All coal : Georgia,$/short ton,COAL.SHIP_PLANT_PRICE.GA-TOT.Q,59.79,65.36,68.56,71.02,75.25,77.74,81.66,80.37,82.85,86.39,80.9,88.2,80.89,79.32,79.04,78.65,74.09,71.09,71.76,68.27,64.14,63.11,59.57,63.93,60.16,61.28,64.77,61.06,55.45,60.34,59.65,58.18,56.29,58.24,57.15,54.72,55.36,56.26,53.85,56.68,54.56,55.33,54.05,52.47,53.18,52.52,54.52,51.32,54.13,53.91,53.54,53.5,55.47,52.39,57.43,57.05,64.07,67.16,80.81
All coal : Maryland,$/short ton,COAL.SHIP_PLANT_PRICE.MD-TOT.Q,69.08,95.61,112.54,90.81,80.14,72.89,78.24,72.33,83.33,82.57,90.3,86.45,90.61,91.28,91.93,91.89,88.84,85.46,89.14,93.39,92.76,86.76,81.31,80.97,76.72,75.51,72.92,71.82,75.42,72.28,72.17,68.91,67.87,70.9,74.53,72.4,72.72,66.82,62.65,62.32,65.48,62.66,64.73,63.29,68.89,64.65,65.76,66.54,65.27,58.46,69.37,66.94,64.52,67.17,64.41,79.53,70.88,90.98,217.79
All coal : North Carolina,$/short ton,COAL.SHIP_PLANT_PRICE.NC-TOT.Q,69.28,73.78,85.44,89.37,87.27,85.7,89.74,91.64,90.24,83.46,85.88,85.87,87.01,87.15,89.71,90.3,91.95,93.89,93.33,92.26,91.18,94.3,95.52,93.38,90.21,88.22,88.97,88,89.44,87.82,85.08,83.87,77.49,75.28,77.47,77.53,73.92,74.12,74.27,74.56,76.21,77.02,79.47,81.48,80.84,68.31,66.77,65.57,65.24,64.14,64.59,62.55,58.5,57.93,75.6,79.15,80.38,80.2,98.53
All coal : South Carolina,$/short ton,COAL.SHIP_PLANT_PRICE.SC-TOT.Q,58.65,61.88,81.32,82.23,94.61,93.96,88.77,87.83,92.3,95.49,93.69,90.19,93.2,91.83,98.66,97.36,99.8,98.41,98.01,99.71,95.25,93.29,94.77,93.01,92.57,90.63,90.49,90.1,89.9,88.95,87.8,86.94,81.48,80.65,76.54,80.57,82.3,80.19,81.97,83.33,83.3,81.71,80.76,82.28,80.73,81.1,78.35,79.53,76.57,80.53,82.44,76.66,70.85,67.59,71.57,80.25,86.98,77.55,90.64
All coal : Virginia,$/short ton,COAL.SHIP_PLANT_PRICE.VA-TOT.Q,65.31,66.04,70.36,69.68,76.29,75.59,78.35,77.21,80.98,82.13,84.75,82.93,86.44,87.83,90.2,87.57,93.52,94.43,85.61,79.12,78.48,79.09,71.83,75.05,76.3,76.93,75.96,73.94,70.07,70.35,63.04,68.95,67.36,61.96,68.06,64.4,61.45,60.12,66.13,61.43,63.03,61.53,61.38,59.67,68.36,66.41,67.45,60.53,49.88,52.27,53.02,55.64,48.48,61.37,47.61,50.72,53.78,58.52,69.08
All coal : West Virginia,$/short ton,COAL.SHIP_PLANT_PRICE.WV-TOT.Q,45.99,51.98,55.89,55.57,59.97,58.73,60.93,62.76,56.45,57.37,58.05,56.33,57.24,56.79,62.58,59.79,59.88,61.38,61.07,62.53,61.37,60.57,59.47,59.49,59.37,58.72,58.26,57.6,57.59,57.38,55.96,54.95,55.42,57.44,55.3,53.82,53.58,53.75,54.34,53.68,51.3,50.89,51.34,52.51,51.41,50.85,52.86,52.08,50.85,51.6,49.44,48.19,48.75,48.44,49.94,49.12,49.31,56.39,55.92
All coal : East South Central,$/short ton,COAL.SHIP_PLANT_PRICE.ESC-TOT.Q,44.96,48.17,55.99,57.55,56.16,51.33,51.79,51.05,54.42,53.93,56.17,55.48,54.9,56.79,58.88,56.59,56.59,57.62,58.3,56.36,53.26,54.28,53.09,52.76,52.85,53.75,54.21,51.7,49.62,49.74,49.14,47.24,46.8,46,46.2,44.56,42.5,43.15,45.04,43.23,43.82,43.03,43.02,43.39,44.04,42.87,42.35,41.84,39.09,41.02,41.2,40.46,38.67,40.8,40.92,42.61,46.19,46.23,56.9
