,0,1,2,sim_name
194,0.0,0.0,0.0,h
195,0.0,0.0,0.0,h
196,0.0,34.51937,0.0,h
197,0.0,0.0,0.0,h
198,0.77407,0.08251,0.14341,h
199,0.0,0.0,0.0,h
200,0.04537,0.04899,0.05059,h
201,2.35306,1.12461,0.52233,h
202,0.0,0.0,0.0,h
203,0.0,0.0,0.0,h
204,0.47177,0.57254,1.35416,h
205,0.0,0.0,0.0,h
206,0.00308,0.0075,13.9412,h
207,0.0,0.0,0.0,h
208,1.30635,0.61426,0.07939,h
209,0.0,0.0,0.0,h
210,0.02531,0.0,0.0,h
211,0.0,0.0,0.0,h
212,0.09909,0.0,0.0,h
213,11.25591,0.0,0.0,h
214,0.0,0.0,0.0,h
215,0.0,0.0,0.0,h
216,127.84178,0.0,0.0,h
217,65.02496,0.0,0.0,h
218,0.0,0.0,0.0,h
219,0.0,0.0,0.0,h
220,9.24964,22.75036,0.0,h
221,0.32075,0.12242,0.0,h
222,0.03987,0.0631,0.0,h
223,0.0,0.0,0.0,h
224,0.0,0.0,0.0,h
225,0.0,0.0,0.0,h
226,0.0,35.38875,0.0,h
227,0.0,0.0,0.0,h
228,0.5185,0.4815,0.0,h
229,0.0,0.0,0.0,h
230,0.0,0.0,0.64146,h
231,3.07734,0.0,0.92266,h
232,0.0,0.0,0.0,h
233,0.0,0.0,0.0,h
234,3.38556,0.0,2.35038,h
235,0.0,0.0,0.0,h
236,0.06613,0.0,14.47541,h
237,0.0,0.0,6.79385,h
238,1.59601,0.0,0.40399,h
239,0.0,0.0,0.0,h
240,0.0,0.0,0.0,h
241,0.0,0.0,0.0,h
242,0.0,0.0,0.0,h
243,7.76941,0.0,0.0,h
244,0.0,0.0,0.0,h
245,0.0,0.0,0.0,h
246,127.7287,0.0,0.0,h
247,63.57867,0.0,0.0,h
248,0.0,0.0,0.0,h
249,0.0,0.0,0.0,h
250,3.8092,28.1908,0.0,h
251,0.0,1.63857,0.0,h
252,0.0,1.58282,0.0,h
253,0.0,3.59019,0.0,h
254,0.0,0.0,0.0,h
255,0.0,0.0,0.0,h
256,0.0,35.59914,0.0,h
257,0.0,0.0,0.0,h
258,0.0,1.0,0.0,h
259,0.0,0.0,0.0,h
